"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"95",11,"Winter",1,"Artibeus_fimbriatus",NA
"109",11,"Winter",2,"Artibeus_fimbriatus",NA
"123",11,"Winter",3,"Artibeus_fimbriatus",NA
"96",12,"Winter",1,"Artibeus_fimbriatus",NA
"110",12,"Winter",2,"Artibeus_fimbriatus",NA
"124",12,"Winter",3,"Artibeus_fimbriatus",NA
"97",13,"Winter",1,"Artibeus_fimbriatus",NA
"111",13,"Winter",2,"Artibeus_fimbriatus",NA
"125",13,"Winter",3,"Artibeus_fimbriatus",NA
"98",14,"Winter",1,"Artibeus_fimbriatus",NA
"112",14,"Winter",2,"Artibeus_fimbriatus",NA
"126",14,"Winter",3,"Artibeus_fimbriatus",NA
"1261",1,"Summer",1,"Artibeus_lituratus",NA
"1275",1,"Summer",2,"Artibeus_lituratus",NA
"1289",1,"Summer",3,"Artibeus_lituratus",NA
"1262",2,"Summer",1,"Artibeus_lituratus",NA
"1276",2,"Summer",2,"Artibeus_lituratus",NA
"1290",2,"Summer",3,"Artibeus_lituratus",NA
"1263",3,"Summer",1,"Artibeus_lituratus",NA
"1277",3,"Summer",2,"Artibeus_lituratus",NA
"1291",3,"Summer",3,"Artibeus_lituratus",NA
"1264",4,"Summer",1,"Artibeus_lituratus",NA
"1278",4,"Summer",2,"Artibeus_lituratus",NA
"1292",4,"Summer",3,"Artibeus_lituratus",NA
"1265",5,"Summer",1,"Artibeus_lituratus",NA
"1279",5,"Summer",2,"Artibeus_lituratus",NA
"1293",5,"Summer",3,"Artibeus_lituratus",NA
"1266",6,"Summer",1,"Artibeus_lituratus",NA
"1280",6,"Summer",2,"Artibeus_lituratus",NA
"1294",6,"Summer",3,"Artibeus_lituratus",NA
"1267",7,"Summer",1,"Artibeus_lituratus",NA
"1281",7,"Summer",2,"Artibeus_lituratus",NA
"1295",7,"Summer",3,"Artibeus_lituratus",NA
"1268",8,"Summer",1,"Artibeus_lituratus",NA
"1282",8,"Summer",2,"Artibeus_lituratus",NA
"1296",8,"Summer",3,"Artibeus_lituratus",NA
"1269",9,"Summer",1,"Artibeus_lituratus",NA
"1283",9,"Summer",2,"Artibeus_lituratus",NA
"1297",9,"Summer",3,"Artibeus_lituratus",NA
"1270",10,"Summer",1,"Artibeus_lituratus",NA
"1284",10,"Summer",2,"Artibeus_lituratus",NA
"1298",10,"Summer",3,"Artibeus_lituratus",NA
"1271",11,"Summer",1,"Artibeus_lituratus",NA
"1285",11,"Summer",2,"Artibeus_lituratus",NA
"1299",11,"Summer",3,"Artibeus_lituratus",NA
"1272",12,"Summer",1,"Artibeus_lituratus",NA
"1286",12,"Summer",2,"Artibeus_lituratus",NA
"1300",12,"Summer",3,"Artibeus_lituratus",NA
"1273",13,"Summer",1,"Artibeus_lituratus",NA
"1287",13,"Summer",2,"Artibeus_lituratus",NA
"1301",13,"Summer",3,"Artibeus_lituratus",NA
"1274",14,"Summer",1,"Artibeus_lituratus",NA
"1288",14,"Summer",2,"Artibeus_lituratus",NA
"1302",14,"Summer",3,"Artibeus_lituratus",NA
"127",1,"Winter",1,"Artibeus_lituratus",NA
"141",1,"Winter",2,"Artibeus_lituratus",NA
"155",1,"Winter",3,"Artibeus_lituratus",NA
"128",2,"Winter",1,"Artibeus_lituratus",NA
"142",2,"Winter",2,"Artibeus_lituratus",NA
"156",2,"Winter",3,"Artibeus_lituratus",NA
"129",3,"Winter",1,"Artibeus_lituratus",NA
"143",3,"Winter",2,"Artibeus_lituratus",NA
"157",3,"Winter",3,"Artibeus_lituratus",NA
"130",4,"Winter",1,"Artibeus_lituratus",NA
"144",4,"Winter",2,"Artibeus_lituratus",NA
"158",4,"Winter",3,"Artibeus_lituratus",NA
"131",5,"Winter",1,"Artibeus_lituratus",NA
"145",5,"Winter",2,"Artibeus_lituratus",NA
"159",5,"Winter",3,"Artibeus_lituratus",NA
"132",6,"Winter",1,"Artibeus_lituratus",NA
"146",6,"Winter",2,"Artibeus_lituratus",NA
"160",6,"Winter",3,"Artibeus_lituratus",NA
"133",7,"Winter",1,"Artibeus_lituratus",NA
"147",7,"Winter",2,"Artibeus_lituratus",NA
"161",7,"Winter",3,"Artibeus_lituratus",NA
"134",8,"Winter",1,"Artibeus_lituratus",NA
"148",8,"Winter",2,"Artibeus_lituratus",NA
"162",8,"Winter",3,"Artibeus_lituratus",NA
"135",9,"Winter",1,"Artibeus_lituratus",NA
"149",9,"Winter",2,"Artibeus_lituratus",NA
"163",9,"Winter",3,"Artibeus_lituratus",NA
"136",10,"Winter",1,"Artibeus_lituratus",NA
"150",10,"Winter",2,"Artibeus_lituratus",NA
"164",10,"Winter",3,"Artibeus_lituratus",NA
"137",11,"Winter",1,"Artibeus_lituratus",NA
"151",11,"Winter",2,"Artibeus_lituratus",NA
"165",11,"Winter",3,"Artibeus_lituratus",NA
"138",12,"Winter",1,"Artibeus_lituratus",NA
"152",12,"Winter",2,"Artibeus_lituratus",NA
"166",12,"Winter",3,"Artibeus_lituratus",NA
"139",13,"Winter",1,"Artibeus_lituratus",NA
"153",13,"Winter",2,"Artibeus_lituratus",NA
"167",13,"Winter",3,"Artibeus_lituratus",NA
"140",14,"Winter",1,"Artibeus_lituratus",NA
"154",14,"Winter",2,"Artibeus_lituratus",NA
"168",14,"Winter",3,"Artibeus_lituratus",NA
"1303",1,"Summer",1,"Carollia_perspicillata",NA
"1317",1,"Summer",2,"Carollia_perspicillata",NA
"1331",1,"Summer",3,"Carollia_perspicillata",NA
"1304",2,"Summer",1,"Carollia_perspicillata",NA
"1318",2,"Summer",2,"Carollia_perspicillata",NA
"1332",2,"Summer",3,"Carollia_perspicillata",NA
"1305",3,"Summer",1,"Carollia_perspicillata",NA
"1319",3,"Summer",2,"Carollia_perspicillata",NA
"1333",3,"Summer",3,"Carollia_perspicillata",NA
"1306",4,"Summer",1,"Carollia_perspicillata",NA
"1320",4,"Summer",2,"Carollia_perspicillata",NA
"1334",4,"Summer",3,"Carollia_perspicillata",NA
"1307",5,"Summer",1,"Carollia_perspicillata",NA
"1321",5,"Summer",2,"Carollia_perspicillata",NA
"1335",5,"Summer",3,"Carollia_perspicillata",NA
"1308",6,"Summer",1,"Carollia_perspicillata",NA
"1322",6,"Summer",2,"Carollia_perspicillata",NA
"1336",6,"Summer",3,"Carollia_perspicillata",NA
"1309",7,"Summer",1,"Carollia_perspicillata",NA
"1323",7,"Summer",2,"Carollia_perspicillata",NA
"1337",7,"Summer",3,"Carollia_perspicillata",NA
"1310",8,"Summer",1,"Carollia_perspicillata",NA
"1324",8,"Summer",2,"Carollia_perspicillata",NA
"1338",8,"Summer",3,"Carollia_perspicillata",NA
"1311",9,"Summer",1,"Carollia_perspicillata",NA
"1325",9,"Summer",2,"Carollia_perspicillata",NA
"1339",9,"Summer",3,"Carollia_perspicillata",NA
"1312",10,"Summer",1,"Carollia_perspicillata",NA
"1326",10,"Summer",2,"Carollia_perspicillata",NA
"1340",10,"Summer",3,"Carollia_perspicillata",NA
"1313",11,"Summer",1,"Carollia_perspicillata",NA
"1327",11,"Summer",2,"Carollia_perspicillata",NA
"1341",11,"Summer",3,"Carollia_perspicillata",NA
"1314",12,"Summer",1,"Carollia_perspicillata",NA
"1328",12,"Summer",2,"Carollia_perspicillata",NA
"1342",12,"Summer",3,"Carollia_perspicillata",NA
"1315",13,"Summer",1,"Carollia_perspicillata",NA
"1329",13,"Summer",2,"Carollia_perspicillata",NA
"1343",13,"Summer",3,"Carollia_perspicillata",NA
"1316",14,"Summer",1,"Carollia_perspicillata",NA
"1330",14,"Summer",2,"Carollia_perspicillata",NA
"1344",14,"Summer",3,"Carollia_perspicillata",NA
"169",1,"Winter",1,"Carollia_perspicillata",NA
"183",1,"Winter",2,"Carollia_perspicillata",NA
"197",1,"Winter",3,"Carollia_perspicillata",NA
"170",2,"Winter",1,"Carollia_perspicillata",NA
"184",2,"Winter",2,"Carollia_perspicillata",NA
"198",2,"Winter",3,"Carollia_perspicillata",NA
"171",3,"Winter",1,"Carollia_perspicillata",NA
"185",3,"Winter",2,"Carollia_perspicillata",NA
"199",3,"Winter",3,"Carollia_perspicillata",NA
"172",4,"Winter",1,"Carollia_perspicillata",NA
"186",4,"Winter",2,"Carollia_perspicillata",NA
"200",4,"Winter",3,"Carollia_perspicillata",NA
"173",5,"Winter",1,"Carollia_perspicillata",NA
"187",5,"Winter",2,"Carollia_perspicillata",NA
"201",5,"Winter",3,"Carollia_perspicillata",NA
"174",6,"Winter",1,"Carollia_perspicillata",NA
"188",6,"Winter",2,"Carollia_perspicillata",NA
"202",6,"Winter",3,"Carollia_perspicillata",NA
"175",7,"Winter",1,"Carollia_perspicillata",NA
"189",7,"Winter",2,"Carollia_perspicillata",NA
"203",7,"Winter",3,"Carollia_perspicillata",NA
"176",8,"Winter",1,"Carollia_perspicillata",NA
"190",8,"Winter",2,"Carollia_perspicillata",NA
"204",8,"Winter",3,"Carollia_perspicillata",NA
"177",9,"Winter",1,"Carollia_perspicillata",NA
