"","SITE","SEASON","SAMPLING_PERIOD","SP","CAPTURES"
"81",11,"Winter",2,"Artibeus_fimbriatus",0
"68",12,"Winter",1,"Artibeus_fimbriatus",0
"82",12,"Winter",2,"Artibeus_fimbriatus",0
"69",13,"Winter",1,"Artibeus_fimbriatus",1
"83",13,"Winter",2,"Artibeus_fimbriatus",0
"70",14,"Winter",1,"Artibeus_fimbriatus",0
"84",14,"Winter",2,"Artibeus_fimbriatus",0
"841",1,"Summer",1,"Artibeus_lituratus",0
"855",1,"Summer",2,"Artibeus_lituratus",0
"842",2,"Summer",1,"Artibeus_lituratus",0
"856",2,"Summer",2,"Artibeus_lituratus",0
"843",3,"Summer",1,"Artibeus_lituratus",0
"857",3,"Summer",2,"Artibeus_lituratus",0
"844",4,"Summer",1,"Artibeus_lituratus",0
"858",4,"Summer",2,"Artibeus_lituratus",0
"845",5,"Summer",1,"Artibeus_lituratus",0
"859",5,"Summer",2,"Artibeus_lituratus",0
"846",6,"Summer",1,"Artibeus_lituratus",0
"860",6,"Summer",2,"Artibeus_lituratus",0
"847",7,"Summer",1,"Artibeus_lituratus",0
"861",7,"Summer",2,"Artibeus_lituratus",0
"848",8,"Summer",1,"Artibeus_lituratus",0
"862",8,"Summer",2,"Artibeus_lituratus",0
"849",9,"Summer",1,"Artibeus_lituratus",0
"863",9,"Summer",2,"Artibeus_lituratus",0
"850",10,"Summer",1,"Artibeus_lituratus",0
"864",10,"Summer",2,"Artibeus_lituratus",0
"851",11,"Summer",1,"Artibeus_lituratus",0
"865",11,"Summer",2,"Artibeus_lituratus",0
"852",12,"Summer",1,"Artibeus_lituratus",0
"866",12,"Summer",2,"Artibeus_lituratus",0
"853",13,"Summer",1,"Artibeus_lituratus",1
"867",13,"Summer",2,"Artibeus_lituratus",0
"854",14,"Summer",1,"Artibeus_lituratus",1
"868",14,"Summer",2,"Artibeus_lituratus",1
"85",1,"Winter",1,"Artibeus_lituratus",0
"99",1,"Winter",2,"Artibeus_lituratus",0
"86",2,"Winter",1,"Artibeus_lituratus",0
"100",2,"Winter",2,"Artibeus_lituratus",0
"87",3,"Winter",1,"Artibeus_lituratus",NA
"101",3,"Winter",2,"Artibeus_lituratus",NA
"88",4,"Winter",1,"Artibeus_lituratus",0
"102",4,"Winter",2,"Artibeus_lituratus",0
"89",5,"Winter",1,"Artibeus_lituratus",0
"103",5,"Winter",2,"Artibeus_lituratus",0
"90",6,"Winter",1,"Artibeus_lituratus",NA
"104",6,"Winter",2,"Artibeus_lituratus",NA
"91",7,"Winter",1,"Artibeus_lituratus",0
"105",7,"Winter",2,"Artibeus_lituratus",0
"92",8,"Winter",1,"Artibeus_lituratus",0
"106",8,"Winter",2,"Artibeus_lituratus",0
"93",9,"Winter",1,"Artibeus_lituratus",0
"107",9,"Winter",2,"Artibeus_lituratus",0
"94",10,"Winter",1,"Artibeus_lituratus",NA
"108",10,"Winter",2,"Artibeus_lituratus",NA
"95",11,"Winter",1,"Artibeus_lituratus",0
"109",11,"Winter",2,"Artibeus_lituratus",0
"96",12,"Winter",1,"Artibeus_lituratus",0
"110",12,"Winter",2,"Artibeus_lituratus",0
"97",13,"Winter",1,"Artibeus_lituratus",0
"111",13,"Winter",2,"Artibeus_lituratus",0
"98",14,"Winter",1,"Artibeus_lituratus",0
"112",14,"Winter",2,"Artibeus_lituratus",0
"869",1,"Summer",1,"Carollia_perspicillata",0
"883",1,"Summer",2,"Carollia_perspicillata",0
"870",2,"Summer",1,"Carollia_perspicillata",0
"884",2,"Summer",2,"Carollia_perspicillata",0
"871",3,"Summer",1,"Carollia_perspicillata",0
"885",3,"Summer",2,"Carollia_perspicillata",0
"872",4,"Summer",1,"Carollia_perspicillata",0
"886",4,"Summer",2,"Carollia_perspicillata",0
"873",5,"Summer",1,"Carollia_perspicillata",0
"887",5,"Summer",2,"Carollia_perspicillata",0
"874",6,"Summer",1,"Carollia_perspicillata",0
"888",6,"Summer",2,"Carollia_perspicillata",0
"875",7,"Summer",1,"Carollia_perspicillata",0
"889",7,"Summer",2,"Carollia_perspicillata",0
"876",8,"Summer",1,"Carollia_perspicillata",0
"890",8,"Summer",2,"Carollia_perspicillata",0
"877",9,"Summer",1,"Carollia_perspicillata",1
"891",9,"Summer",2,"Carollia_perspicillata",1
"878",10,"Summer",1,"Carollia_perspicillata",2
"892",10,"Summer",2,"Carollia_perspicillata",0
"879",11,"Summer",1,"Carollia_perspicillata",0
"893",11,"Summer",2,"Carollia_perspicillata",0
"880",12,"Summer",1,"Carollia_perspicillata",2
"894",12,"Summer",2,"Carollia_perspicillata",0
"881",13,"Summer",1,"Carollia_perspicillata",3
"895",13,"Summer",2,"Carollia_perspicillata",5
"882",14,"Summer",1,"Carollia_perspicillata",0
"896",14,"Summer",2,"Carollia_perspicillata",0
"113",1,"Winter",1,"Carollia_perspicillata",0
"127",1,"Winter",2,"Carollia_perspicillata",0
"114",2,"Winter",1,"Carollia_perspicillata",0
"128",2,"Winter",2,"Carollia_perspicillata",0
"115",3,"Winter",1,"Carollia_perspicillata",NA
"129",3,"Winter",2,"Carollia_perspicillata",NA
"116",4,"Winter",1,"Carollia_perspicillata",0
"130",4,"Winter",2,"Carollia_perspicillata",0
"117",5,"Winter",1,"Carollia_perspicillata",0
"131",5,"Winter",2,"Carollia_perspicillata",0
"118",6,"Winter",1,"Carollia_perspicillata",NA
"132",6,"Winter",2,"Carollia_perspicillata",NA
"119",7,"Winter",1,"Carollia_perspicillata",0
"133",7,"Winter",2,"Carollia_perspicillata",0
"120",8,"Winter",1,"Carollia_perspicillata",0
"134",8,"Winter",2,"Carollia_perspicillata",0
"121",9,"Winter",1,"Carollia_perspicillata",0
"135",9,"Winter",2,"Carollia_perspicillata",0
"122",10,"Winter",1,"Carollia_perspicillata",NA
"136",10,"Winter",2,"Carollia_perspicillata",NA
"123",11,"Winter",1,"Carollia_perspicillata",2
"137",11,"Winter",2,"Carollia_perspicillata",0
"124",12,"Winter",1,"Carollia_perspicillata",1
"138",12,"Winter",2,"Carollia_perspicillata",2
"125",13,"Winter",1,"Carollia_perspicillata",0
"139",13,"Winter",2,"Carollia_perspicillata",0
"126",14,"Winter",1,"Carollia_perspicillata",0
"140",14,"Winter",2,"Carollia_perspicillata",0
"897",1,"Summer",1,"Chrotopterus_auritus",0
"911",1,"Summer",2,"Chrotopterus_auritus",0
"898",2,"Summer",1,"Chrotopterus_auritus",0
"912",2,"Summer",2,"Chrotopterus_auritus",0
"899",3,"Summer",1,"Chrotopterus_auritus",0
"913",3,"Summer",2,"Chrotopterus_auritus",0
"900",4,"Summer",1,"Chrotopterus_auritus",0
"914",4,"Summer",2,"Chrotopterus_auritus",0
"901",5,"Summer",1,"Chrotopterus_auritus",0
"915",5,"Summer",2,"Chrotopterus_auritus",0
"902",6,"Summer",1,"Chrotopterus_auritus",0
"916",6,"Summer",2,"Chrotopterus_auritus",0
"903",7,"Summer",1,"Chrotopterus_auritus",0
"917",7,"Summer",2,"Chrotopterus_auritus",0
"904",8,"Summer",1,"Chrotopterus_auritus",2
"918",8,"Summer",2,"Chrotopterus_auritus",0
"905",9,"Summer",1,"Chrotopterus_auritus",0
"919",9,"Summer",2,"Chrotopterus_auritus",0
"906",10,"Summer",1,"Chrotopterus_auritus",0
"920",10,"Summer",2,"Chrotopterus_auritus",0
"907",11,"Summer",1,"Chrotopterus_auritus",0
"921",11,"Summer",2,"Chrotopterus_auritus",0
"908",12,"Summer",1,"Chrotopterus_auritus",0
"922",12,"Summer",2,"Chrotopterus_auritus",0
"909",13,"Summer",1,"Chrotopterus_auritus",0
"923",13,"Summer",2,"Chrotopterus_auritus",0
"910",14,"Summer",1,"Chrotopterus_auritus",0
"924",14,"Summer",2,"Chrotopterus_auritus",0
"141",1,"Winter",1,"Chrotopterus_auritus",0
"155",1,"Winter",2,"Chrotopterus_auritus",0
"142",2,"Winter",1,"Chrotopterus_auritus",0
"156",2,"Winter",2,"Chrotopterus_auritus",0
"143",3,"Winter",1,"Chrotopterus_auritus",NA
"157",3,"Winter",2,"Chrotopterus_auritus",NA
"144",4,"Winter",1,"Chrotopterus_auritus",0
"158",4,"Winter",2,"Chrotopterus_auritus",0
"145",5,"Winter",1,"Chrotopterus_auritus",0
"159",5,"Winter",2,"Chrotopterus_auritus",0
"146",6,"Winter",1,"Chrotopterus_auritus",NA
"160",6,"Winter",2,"Chrotopterus_auritus",NA
"147",7,"Winter",1,"Chrotopterus_auritus",1
"161",7,"Winter",2,"Chrotopterus_auritus",1
"148",8,"Winter",1,"Chrotopterus_auritus",0
"162",8,"Winter",2,"Chrotopterus_auritus",0
"149",9,"Winter",1,"Chrotopterus_auritus",0
"163",9,"Winter",2,"Chrotopterus_auritus",0
"150",10,"Winter",1,"Chrotopterus_auritus",NA
"164",10,"Winter",2,"Chrotopterus_auritus",NA
"151",11,"Winter",1,"Chrotopterus_auritus",2
"165",11,"Winter",2,"Chrotopterus_auritus",0
"152",12,"Winter",1,"Chrotopterus_auritus",0
"166",12,"Winter",2,"Chrotopterus_auritus",0
"153",13,"Winter",1,"Chrotopterus_auritus",1
"167",13,"Winter",2,"Chrotopterus_auritus",0
"154",14,"Winter",1,"Chrotopterus_auritus",0
"168",14,"Winter",2,"Chrotopterus_auritus",0
"925",1,"Summer",1,"Desmodus_rotundus",0
"939",1,"Summer",2,"Desmodus_rotundus",0
"926",2,"Summer",1,"Desmodus_rotundus",0
"940",2,"Summer",2,"Desmodus_rotundus",0
"927",3,"Summer",1,"Desmodus_rotundus",0
"941",3,"Summer",2,"Desmodus_rotundus",0
"928",4,"Summer",1,"Desmodus_rotundus",0
"942",4,"Summer",2,"Desmodus_rotundus",0
"929",5,"Summer",1,"Desmodus_rotundus",0
"943",5,"Summer",2,"Desmodus_rotundus",0
"930",6,"Summer",1,"Desmodus_rotundus",0
"944",6,"Summer",2,"Desmodus_rotundus",0
"931",7,"Summer",1,"Desmodus_rotundus",0
"945",7,"Summer",2,"Desmodus_rotundus",0
"932",8,"Summer",1,"Desmodus_rotundus",0
"946",8,"Summer",2,"Desmodus_rotundus",0
"933",9,"Summer",1,"Desmodus_rotundus",0
"947",9,"Summer",2,"Desmodus_rotundus",0
"934",10,"Summer",1,"Desmodus_rotundus",0
"948",10,"Summer",2,"Desmodus_rotundus",0
"935",11,"Summer",1,"Desmodus_rotundus",0
"949",11,"Summer",2,"Desmodus_rotundus",0
"936",12,"Summer",1,"Desmodus_rotundus",0
"950",12,"Summer",2,"Desmodus_rotundus",0
"937",13,"Summer",1,"Desmodus_rotundus",1
"951",13,"Summer",2,"Desmodus_rotundus",0
"938",14,"Summer",1,"Desmodus_rotundus",0
"952",14,"Summer",2,"Desmodus_rotundus",0
"169",1,"Winter",1,"Desmodus_rotundus",0
"183",1,"Winter",2,"Desmodus_rotundus",0
"170",2,"Winter",1,"Desmodus_rotundus",0
"184",2,"Winter",2,"Desmodus_rotundus",0
"171",3,"Winter",1,"Desmodus_rotundus",NA
"185",3,"Winter",2,"Desmodus_rotundus",NA
"172",4,"Winter",1,"Desmodus_rotundus",0
"186",4,"Winter",2,"Desmodus_rotundus",0
"173",5,"Winter",1,"Desmodus_rotundus",0
"187",5,"Winter",2,"Desmodus_rotundus",0
"174",6,"Winter",1,"Desmodus_rotundus",NA
"188",6,"Winter",2,"Desmodus_rotundus",NA
"175",7,"Winter",1,"Desmodus_rotundus",0
"189",7,"Winter",2,"Desmodus_rotundus",0
"176",8,"Winter",1,"Desmodus_rotundus",0
"190",8,"Winter",2,"Desmodus_rotundus",0
"177",9,"Winter",1,"Desmodus_rotundus",0
"191",9,"Winter",2,"Desmodus_rotundus",0
"178",10,"Winter",1,"Desmodus_rotundus",NA
"192",10,"Winter",2,"Desmodus_rotundus",NA
"179",11,"Winter",1,"Desmodus_rotundus",3
"193",11,"Winter",2,"Desmodus_rotundus",1
"180",12,"Winter",1,"Desmodus_rotundus",0
"194",12,"Winter",2,"Desmodus_rotundus",0
"181",13,"Winter",1,"Desmodus_rotundus",13
"195",13,"Winter",2,"Desmodus_rotundus",8
"182",14,"Winter",1,"Desmodus_rotundus",0
"196",14,"Winter",2,"Desmodus_rotundus",0
"953",1,"Summer",1,"Eptesicus_brasiliensis",0
"967",1,"Summer",2,"Eptesicus_brasiliensis",0
"954",2,"Summer",1,"Eptesicus_brasiliensis",0
"968",2,"Summer",2,"Eptesicus_brasiliensis",0
"955",3,"Summer",1,"Eptesicus_brasiliensis",0
"969",3,"Summer",2,"Eptesicus_brasiliensis",0
"956",4,"Summer",1,"Eptesicus_brasiliensis",0
"970",4,"Summer",2,"Eptesicus_brasiliensis",0
"957",5,"Summer",1,"Eptesicus_brasiliensis",0
"971",5,"Summer",2,"Eptesicus_brasiliensis",0
"958",6,"Summer",1,"Eptesicus_brasiliensis",0
"972",6,"Summer",2,"Eptesicus_brasiliensis",0
"959",7,"Summer",1,"Eptesicus_brasiliensis",0
"973",7,"Summer",2,"Eptesicus_brasiliensis",0
"960",8,"Summer",1,"Eptesicus_brasiliensis",0
"974",8,"Summer",2,"Eptesicus_brasiliensis",0
"961",9,"Summer",1,"Eptesicus_brasiliensis",1
"975",9,"Summer",2,"Eptesicus_brasiliensis",0
"962",10,"Summer",1,"Eptesicus_brasiliensis",0
"976",10,"Summer",2,"Eptesicus_brasiliensis",0
"963",11,"Summer",1,"Eptesicus_brasiliensis",0
"977",11,"Summer",2,"Eptesicus_brasiliensis",0
"964",12,"Summer",1,"Eptesicus_brasiliensis",0
"978",12,"Summer",2,"Eptesicus_brasiliensis",0
"965",13,"Summer",1,"Eptesicus_brasiliensis",0
"979",13,"Summer",2,"Eptesicus_brasiliensis",0
"966",14,"Summer",1,"Eptesicus_brasiliensis",0
"980",14,"Summer",2,"Eptesicus_brasiliensis",0
"197",1,"Winter",1,"Eptesicus_brasiliensis",0
"211",1,"Winter",2,"Eptesicus_brasiliensis",0
"198",2,"Winter",1,"Eptesicus_brasiliensis",0
"212",2,"Winter",2,"Eptesicus_brasiliensis",0
"199",3,"Winter",1,"Eptesicus_brasiliensis",NA
"213",3,"Winter",2,"Eptesicus_brasiliensis",NA
"200",4,"Winter",1,"Eptesicus_brasiliensis",0
"214",4,"Winter",2,"Eptesicus_brasiliensis",0
"201",5,"Winter",1,"Eptesicus_brasiliensis",0
"215",5,"Winter",2,"Eptesicus_brasiliensis",0
"202",6,"Winter",1,"Eptesicus_brasiliensis",NA
"216",6,"Winter",2,"Eptesicus_brasiliensis",NA
"203",7,"Winter",1,"Eptesicus_brasiliensis",0
"217",7,"Winter",2,"Eptesicus_brasiliensis",0
"204",8,"Winter",1,"Eptesicus_brasiliensis",0
"218",8,"Winter",2,"Eptesicus_brasiliensis",0
"205",9,"Winter",1,"Eptesicus_brasiliensis",0
"219",9,"Winter",2,"Eptesicus_brasiliensis",0
"206",10,"Winter",1,"Eptesicus_brasiliensis",NA
"220",10,"Winter",2,"Eptesicus_brasiliensis",NA
"207",11,"Winter",1,"Eptesicus_brasiliensis",0
"221",11,"Winter",2,"Eptesicus_brasiliensis",0
"208",12,"Winter",1,"Eptesicus_brasiliensis",0
"222",12,"Winter",2,"Eptesicus_brasiliensis",0
"209",13,"Winter",1,"Eptesicus_brasiliensis",0
"223",13,"Winter",2,"Eptesicus_brasiliensis",0
"210",14,"Winter",1,"Eptesicus_brasiliensis",0
"224",14,"Winter",2,"Eptesicus_brasiliensis",0
"981",1,"Summer",1,"Eptesicus_furinalis",0
"995",1,"Summer",2,"Eptesicus_furinalis",0
"982",2,"Summer",1,"Eptesicus_furinalis",0
"996",2,"Summer",2,"Eptesicus_furinalis",0
"983",3,"Summer",1,"Eptesicus_furinalis",0
"997",3,"Summer",2,"Eptesicus_furinalis",0
"984",4,"Summer",1,"Eptesicus_furinalis",0
"998",4,"Summer",2,"Eptesicus_furinalis",0
"985",5,"Summer",1,"Eptesicus_furinalis",0
"999",5,"Summer",2,"Eptesicus_furinalis",0
"986",6,"Summer",1,"Eptesicus_furinalis",0
"1000",6,"Summer",2,"Eptesicus_furinalis",0
"987",7,"Summer",1,"Eptesicus_furinalis",0
"1001",7,"Summer",2,"Eptesicus_furinalis",0
"988",8,"Summer",1,"Eptesicus_furinalis",0
"1002",8,"Summer",2,"Eptesicus_furinalis",0
"989",9,"Summer",1,"Eptesicus_furinalis",2
"1003",9,"Summer",2,"Eptesicus_furinalis",0
"990",10,"Summer",1,"Eptesicus_furinalis",0
"1004",10,"Summer",2,"Eptesicus_furinalis",0
"991",11,"Summer",1,"Eptesicus_furinalis",1
"1005",11,"Summer",2,"Eptesicus_furinalis",0
"992",12,"Summer",1,"Eptesicus_furinalis",0
"1006",12,"Summer",2,"Eptesicus_furinalis",0
"993",13,"Summer",1,"Eptesicus_furinalis",0
"1007",13,"Summer",2,"Eptesicus_furinalis",0
"994",14,"Summer",1,"Eptesicus_furinalis",0
"1008",14,"Summer",2,"Eptesicus_furinalis",0
"225",1,"Winter",1,"Eptesicus_furinalis",0
"239",1,"Winter",2,"Eptesicus_furinalis",0
"226",2,"Winter",1,"Eptesicus_furinalis",0
"240",2,"Winter",2,"Eptesicus_furinalis",0
"227",3,"Winter",1,"Eptesicus_furinalis",NA
"241",3,"Winter",2,"Eptesicus_furinalis",NA
"228",4,"Winter",1,"Eptesicus_furinalis",0
"242",4,"Winter",2,"Eptesicus_furinalis",0
"229",5,"Winter",1,"Eptesicus_furinalis",0
"243",5,"Winter",2,"Eptesicus_furinalis",0
"230",6,"Winter",1,"Eptesicus_furinalis",NA
"244",6,"Winter",2,"Eptesicus_furinalis",NA
"231",7,"Winter",1,"Eptesicus_furinalis",0
"245",7,"Winter",2,"Eptesicus_furinalis",0
"232",8,"Winter",1,"Eptesicus_furinalis",0
"246",8,"Winter",2,"Eptesicus_furinalis",0
"233",9,"Winter",1,"Eptesicus_furinalis",0
"247",9,"Winter",2,"Eptesicus_furinalis",0
"234",10,"Winter",1,"Eptesicus_furinalis",NA
"248",10,"Winter",2,"Eptesicus_furinalis",NA
"235",11,"Winter",1,"Eptesicus_furinalis",0
"249",11,"Winter",2,"Eptesicus_furinalis",0
"236",12,"Winter",1,"Eptesicus_furinalis",0
"250",12,"Winter",2,"Eptesicus_furinalis",0
"237",13,"Winter",1,"Eptesicus_furinalis",2
"251",13,"Winter",2,"Eptesicus_furinalis",0
"238",14,"Winter",1,"Eptesicus_furinalis",0
"252",14,"Winter",2,"Eptesicus_furinalis",0
"1009",1,"Summer",1,"Histiotus_montanus",0
"1023",1,"Summer",2,"Histiotus_montanus",0
"1010",2,"Summer",1,"Histiotus_montanus",0
"1024",2,"Summer",2,"Histiotus_montanus",0
"1011",3,"Summer",1,"Histiotus_montanus",1
"1025",3,"Summer",2,"Histiotus_montanus",0
"1012",4,"Summer",1,"Histiotus_montanus",1
"1026",4,"Summer",2,"Histiotus_montanus",3
"1013",5,"Summer",1,"Histiotus_montanus",0
"1027",5,"Summer",2,"Histiotus_montanus",0
"1014",6,"Summer",1,"Histiotus_montanus",1
"1028",6,"Summer",2,"Histiotus_montanus",0
